iteration no.; 0; x coordinate; y coordinate; 
Particle no.; 42;  3.99959; 5.83592;
Particle no.; 43;  2.62399; 4.29646;
Particle no.; 44;  5.12561; 2.96649;
Particle no.; 45;  3.77137; 3.23546;
Particle no.; 46;  4.53172; 5.99636;
Particle no.; 47;  2.78022; 3.13549;
Particle no.; 48;  5.41814; 2.82844;
Particle no.; 49;  5.48758; 3.10232;
iteration no.; 9; x coordinate; y coordinate; 
Particle no.; 0;  5.20476; 1.86138;
Particle no.; 1;  5.69037; 1.93825;
Particle no.; 2;  2.91571; 4.06684;
Particle no.; 3;  5.48033; 0.604731;
Particle no.; 4;  4.12043; 2.28994;
Particle no.; 5;  5.6248; 2.54073;
Particle no.; 6;  2.92217; 5.15234;
Particle no.; 7;  5.27543; 1.51714;
Particle no.; 8;  3.81996; 1.58183;
Particle no.; 9;  4.27591; 2.24557;
Particle no.; 10;  6.2532; 2.64294;
Particle no.; 11;  3.44264; 2.70227;
Particle no.; 12;  5.22112; 0.901398;
Particle no.; 13;  4.03608; 1.81026;
Particle no.; 14;  2.4166; 3.12894;
Particle no.; 15;  3.97219; 4.76305;
Particle no.; 16;  5.68778; 2.59525;
Particle no.; 17;  4.82107; 2.86438;
Particle no.; 18;  5.69833; 5.19254;
Particle no.; 19;  2.68357; 4.03772;
Particle no.; 20;  5.23272; 3.52799;
Particle no.; 21;  5.46219; 1.11035;
Particle no.; 22;  4.20349; 1.75311;
Particle no.; 23;  6.83718; 3.45799;
Particle no.; 24;  6.30589; 1.80327;
Particle no.; 25;  4.85867; 3.0699;
Particle no.; 26;  4.34091; 2.14546;
Particle no.; 27;  6.14873; 4.40452;
Particle no.; 28;  2.5956; 5.38968;
Particle no.; 29;  6.78134; 3.0079;
Particle no.; 30;  5.08202; 3.85709;
Particle no.; 31;  2.05531; 1.75669;
Particle no.; 32;  3.52038; 2.17837;
Particle no.; 33;  5.52756; 3.82526;
Particle no.; 34;  5.89532; 1.3087;
Particle no.; 35;  5.90423; 1.0075;
Particle no.; 36;  6.67849; 5.99364;
Particle no.; 37;  3.74177; 5.95163;
Particle no.; 38;  4.60697; 0.970712;
Particle no.; 39;  4.31928; 2.26328;
Particle no.; 40;  4.15186; 2.04638;
Particle no.; 41;  6.17621; 2.46382;
Particle no.; 42;  3.96353; 5.90133;
Particle no.; 43;  2.59304; 4.29329;
Particle no.; 44;  5.08337; 2.98989;
Particle no.; 45;  3.73976; 3.26726;
Particle no.; 46;  4.49062; 6.04023;
Particle no.; 47;  2.71437; 3.13157;
Particle no.; 48;  5.42087; 2.82639;
Particle no.; 49;  5.48122; 3.12272;
iteration no.; 12; x coordinate; y coordinate; 
Particle no.; 0;  5.31946; 1.93382;
Particle no.; 1;  5.6703; 1.90983;
Particle no.; 2;  2.85209; 4.0945;
Particle no.; 3;  5.47504; 0.566665;
Particle no.; 4;  4.29437; 2.31832;
Particle no.; 5;  5.6027; 2.54881;
Particle no.; 6;  2.8084; 5.26215;
Particle no.; 7;  5.49145; 1.74763;
Particle no.; 8;  4.06127; 1.70296;
Particle no.; 9;  4.48556; 2.28611;
Particle no.; 10;  6.26174; 2.63812;
Particle no.; 11;  3.38287; 2.68973;
Particle no.; 12;  5.2002; 0.864939;
Particle no.; 13;  4.17192; 1.86098;
Particle no.; 14;  2.33404; 3.1315;
Particle no.; 15;  3.91125; 4.80453;
Particle no.; 16;  5.67295; 2.60927;
Particle no.; 17;  4.78611; 2.86853;
Particle no.; 18;  5.69691; 5.25841;
Particle no.; 19;  2.61443; 4.0655;
Particle no.; 20;  5.21328; 3.5596;
Particle no.; 21;  5.43696; 1.06319;
Particle no.; 22;  4.37347; 1.80937;
Particle no.; 23;  6.84425; 3.46614;
Particle no.; 24;  6.29529; 1.78455;
Particle no.; 25;  4.84335; 3.08139;
Particle no.; 26;  4.53447; 2.19496;
Particle no.; 27;  6.1469; 4.43986;
Particle no.; 28;  2.52637; 5.44327;
Particle no.; 29;  6.77821; 3.01456;
Particle no.; 30;  5.05428; 3.87751;
Particle no.; 31;  1.96615; 1.75383;
Particle no.; 32;  3.74108; 2.20247;
Particle no.; 33;  5.51087; 3.86533;
Particle no.; 34;  5.88377; 1.27361;
