iteration no.; 0; x coordinate; y coordinate; 
Particle no.; 45;  3.1862; 6.13386;
Particle no.; 46;  6.2906; 5.03153;
Particle no.; 47;  1.94905; 6.97609;
Particle no.; 48;  5.28009; 4.40705;
Particle no.; 49;  2.42214; 3.99589;
iteration no.; 30; x coordinate; y coordinate; 
Particle no.; 0;  7; 4.1139;
Particle no.; 1;  3.25032; 3.40832;
Particle no.; 2;  5.81317; 0.936657;
Particle no.; 3;  6.16235; 6.24935;
Particle no.; 4;  0.390773; 0.147819;
Particle no.; 5;  2.62302; 3.60008;
Particle no.; 6;  3.14644; 5.01132;
Particle no.; 7;  7; 3.31281;
Particle no.; 8;  7; 6.4338;
Particle no.; 9;  3.12413; 4.77198;
Particle no.; 10;  3.38491; 2.22611;
Particle no.; 11;  1.44089; 4.30129;
Particle no.; 12;  2.64925; 6.36171;
Particle no.; 13;  5.54836; 2.2825;
Particle no.; 14;  1.17806; 2.51628;
Particle no.; 15;  6.76562; 4.04923;
Particle no.; 16;  7; 2.04046;
Particle no.; 17;  0.862731; 0;
Particle no.; 18;  2.62183; 3.79405;
Particle no.; 19;  2.51147; 3.83301;
Particle no.; 20;  1.54388; 2.61113;
Particle no.; 21;  6.38622; 2.37723;
Particle no.; 22;  2.32843; 7;
Particle no.; 23;  1.85653; 6.17103;
Particle no.; 24;  2.28192; 4.65066;
Particle no.; 25;  3.84019; 4.63892;
Particle no.; 26;  6.16471; 4.49285;
Particle no.; 27;  0.992078; 1.36948;
Particle no.; 28;  6.72277; 7;
Particle no.; 29;  2.59645; 4.22737;
Particle no.; 30;  0.321814; 0.203593;
Particle no.; 31;  5.9134; 1.73276;
Particle no.; 32;  1.78075; 2.34927;
Particle no.; 33;  0; 0;
Particle no.; 34;  5.82163; 5.67853;
Particle no.; 35;  0.0470608; 2.35867;
Particle no.; 36;  1.57669; 6.13387;
Particle no.; 37;  2.24386; 5.63599;
Particle no.; 38;  6.58643; 3.15007;
Particle no.; 39;  4.15298; 2.33195;
Particle no.; 40;  6.63376; 6.46074;
Particle no.; 41;  5.25819; 5.41934;
Particle no.; 42;  2.09342; 4.87293;
Particle no.; 43;  6.52193; 6.70874;
Particle no.; 44;  5.06558; 2.49666;
Particle no.; 45;  0.788644; 4.96802;
Particle no.; 46;  2.04849; 1.63359;
Particle no.; 47;  1.63624; 6.33766;
Particle no.; 48;  5.02186; 4.14882;
Particle no.; 49;  2.84984; 4.4236;
iteration no.; 40; x coordinate; y coordinate; 
Particle no.; 0;  7; 3.94816;
Particle no.; 1;  2.81358; 2.97157;
Particle no.; 2;  6.1884; 2.44538;
Particle no.; 3;  6.15211; 6.23789;
Particle no.; 4;  0.771294; 0.322904;
Particle no.; 5;  2.07861; 3.05568;
Particle no.; 6;  0.539555; 2.43394;
Particle no.; 7;  7; 2.86923;
Particle no.; 8;  6.94116; 0;
Particle no.; 9;  1.8195; 3.46735;
Particle no.; 10;  4.50869; 2.89112;
Particle no.; 11;  2.14157; 5.00196;
Particle no.; 12;  1.35466; 5.48665;
Particle no.; 13;  4.60213; 1.33627;
Particle no.; 14;  1.16611; 2.50433;
Particle no.; 15;  6.92302; 1.84764;
Particle no.; 16;  7; 2.18836;
Particle no.; 17;  5.14082; 3.55812;
Particle no.; 18;  3.14219; 4.31442;
Particle no.; 19;  2.87929; 4.20083;
Particle no.; 20;  3.86467; 4.47896;
Particle no.; 21;  6.54684; 3.13141;
Particle no.; 22;  1.23234; 7;
Particle no.; 23;  2.14129; 6.41337;
Particle no.; 24;  2.2602; 4.62894;
Particle no.; 25;  1.14424; 1.94296;
Particle no.; 26;  5.97504; 4.30317;
Particle no.; 27;  1.39394; 1.94326;
Particle no.; 28;  2.54592; 6.0375;
Particle no.; 29;  3.15096; 4.78188;
Particle no.; 30;  0.552734; 0.442569;
Particle no.; 31;  6.42195; 2.40815;
Particle no.; 32;  1.8585; 2.42702;
Particle no.; 33;  3.50546; 3.72448;
Particle no.; 34;  5.11831; 4.3655;
Particle no.; 35;  0.030706; 2.42766;
Particle no.; 36;  1.82458; 6.33395;
Particle no.; 37;  1.2824; 4.67453;
Particle no.; 38;  6.69464; 2.67573;
Particle no.; 39;  3.76228; 1.94125;
Particle no.; 40;  6.61974; 6.39223;
Particle no.; 41;  5.94471; 6.10586;
Particle no.; 42;  3.63733; 6.32505;
Particle no.; 43;  6.58975; 6.67992;
Particle no.; 44;  1.49396; 0;
Particle no.; 45;  0.98123; 5.06167;
Particle no.; 46;  4.73926; 3.59741;
Particle no.; 47;  1.50287; 6.01714;
Particle no.; 48;  5.06302; 4.18998;
Particle no.; 49;  2.6621; 4.23585;
iteration no.; 50; x coordinate; y coordinate; 
Particle no.; 0;  7; 0.528846;
Particle no.; 1;  2.83029; 2.98829;
Particle no.; 2;  6.31429; 3.11463;
Particle no.; 3;  5.85324; 5.97223;
Particle no.; 4;  1.28455; 0.522713;
Particle no.; 5;  2.16057; 3.13764;
Particle no.; 6;  3.19305; 6.03899;
Particle no.; 7;  7; 1.97865;
Particle no.; 8;  6.22371; 0;
Particle no.; 9;  3.52927; 5.17712;
Particle no.; 10;  4.00479; 2.59293;
Particle no.; 11;  1.20164; 4.06203;
Particle no.; 12;  2.32669; 6.06948;
Particle no.; 13;  5.56392; 2.29807;
Particle no.; 14;  1.47725; 2.81548;
Particle no.; 15;  6.83377; 2.49606;
Particle no.; 16;  7; 2.07529;
Particle no.; 17;  5.5792; 3.2842;
Particle no.; 18;  3.59912; 4.77135;
Particle no.; 19;  3.28402; 4.41413;
Particle no.; 20;  2.80359; 4.18679;
Particle no.; 21;  6.21129; 1.55586;
Particle no.; 22;  0.557715; 7;
Particle no.; 23;  1.7403; 6.13726;
Particle no.; 24;  2.12938; 4.49813;
Particle no.; 25;  4.73501; 5.68238;
Particle no.; 26;  5.91815; 4.24628;
Particle no.; 27;  1.09694; 1.31527;
Particle no.; 28;  0; 4.4297;
Particle no.; 29;  2.65257; 4.28349;
Particle no.; 30;  4.81511; 3.01761;
